,0
brand,0.022181146025878003
modelno,0.0
title,0.0
price,0.0
dimensions,0.0
imageurl,0.0
shipweight,0.0
brand/modelno,0.06839186691312385
brand/title,0.27726432532347506
brand/price,0.022181146025878003
brand/dimensions,0.0166358595194085
brand/imageurl,0.2846580406654344
brand/shipweight,0.16635859519408502
modelno/title,0.0
modelno/price,0.0
modelno/dimensions,0.0
modelno/imageurl,0.0018484288354898336
modelno/shipweight,0.0
title/price,0.0
title/dimensions,0.0
title/imageurl,0.011090573012939002
title/shipweight,0.0036968576709796672
price/dimensions,0.0
price/imageurl,0.0
price/shipweight,0.0
dimensions/imageurl,0.0
dimensions/shipweight,0.0
imageurl/shipweight,0.0018484288354898336
brand/modelno/title,0.4658040665434381
brand/modelno/price,0.05545286506469501
brand/modelno/dimensions,0.07208872458410351
brand/modelno/imageurl,0.4879852125693161
brand/modelno/shipweight,0.3585951940850277
brand/title/price,0.23844731977818853
brand/title/dimensions,0.27726432532347506
brand/title/imageurl,0.8391866913123844
brand/title/shipweight,0.7208872458410351
brand/price/dimensions,0.0166358595194085
brand/price/imageurl,0.26247689463955637
brand/price/shipweight,0.1589648798521257
brand/dimensions/imageurl,0.29944547134935307
brand/dimensions/shipweight,0.17005545286506468
brand/imageurl/shipweight,0.5600739371534196
modelno/title/price,0.0
modelno/title/dimensions,0.0
modelno/title/imageurl,0.031423290203327174
modelno/title/shipweight,0.011090573012939002
modelno/price/dimensions,0.0
modelno/price/imageurl,0.0018484288354898336
modelno/price/shipweight,0.0
modelno/dimensions/imageurl,0.0018484288354898336
modelno/dimensions/shipweight,0.0
modelno/imageurl/shipweight,0.022181146025878003
title/price/dimensions,0.0
title/price/imageurl,0.009242144177449169
title/price/shipweight,0.005545286506469501
title/dimensions/imageurl,0.012939001848428836
title/dimensions/shipweight,0.005545286506469501
title/imageurl/shipweight,0.05545286506469501
price/dimensions/imageurl,0.0
price/dimensions/shipweight,0.0
price/imageurl/shipweight,0.0018484288354898336
dimensions/imageurl/shipweight,0.0018484288354898336
brand/modelno/title/price,0.4177449168207024
brand/modelno/title/dimensions,0.4713493530499076
brand/modelno/title/imageurl,0.9242144177449169
brand/modelno/title/shipweight,0.8817005545286506
brand/modelno/price/dimensions,0.06099815157116451
brand/modelno/price/imageurl,0.4584103512014787
brand/modelno/price/shipweight,0.35304990757855825
brand/modelno/dimensions/imageurl,0.49168207024029575
brand/modelno/dimensions/shipweight,0.36968576709796674
brand/modelno/imageurl/shipweight,0.7171903881700554
brand/title/price/dimensions,0.2365988909426987
brand/title/price/imageurl,0.8133086876155268
brand/title/price/shipweight,0.7005545286506469
brand/title/dimensions/imageurl,0.8521256931608133
brand/title/dimensions/shipweight,0.7430683918669131
brand/title/imageurl/shipweight,0.9630314232902033
brand/price/dimensions/imageurl,0.2735674676524954
brand/price/dimensions/shipweight,0.18299445471349354
brand/price/imageurl/shipweight,0.5693160813308688
brand/dimensions/imageurl/shipweight,0.5988909426987061
modelno/title/price/dimensions,0.0
modelno/title/price/imageurl,0.03512014787430684
modelno/title/price/shipweight,0.014787430683918669
modelno/title/dimensions/imageurl,0.04251386321626617
modelno/title/dimensions/shipweight,0.011090573012939002
modelno/title/imageurl/shipweight,0.13123844731977818
modelno/price/dimensions/imageurl,0.0018484288354898336
modelno/price/dimensions/shipweight,0.0
modelno/price/imageurl/shipweight,0.018484288354898338
modelno/dimensions/imageurl/shipweight,0.027726432532347505
title/price/dimensions/imageurl,0.012939001848428836
title/price/dimensions/shipweight,0.005545286506469501
title/price/imageurl/shipweight,0.051756007393715345
title/dimensions/imageurl/shipweight,0.07024029574861368
price/dimensions/imageurl/shipweight,0.0018484288354898336
