ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,originalRightId
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,"('title', 'authors', 'year')",0@journals/sigmod/Libkin99a
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,Leonid Libkin,ACM SIGMOD Record ,1996,"('title', 'venue', 'year')",0@journals/sigmod/Libkin99a
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,2000,"('title', 'authors', 'year')",0@conf/vldb/AbiteboulAAACHHMMMMSTV99
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",Very Large Data Bases,2000,"('title', 'venue', 'year')",0@conf/vldb/AbiteboulAAACHHMMMMSTV99
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",Very Large Data Bases,2000,"('title', 'venue', 'year')",0@conf/vldb/LakshmananSS96
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2000,"('title', 'year')",1@375687
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",International Conference on Management of Data,2000,"('title', 'authors', 'year')",1@375687
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Push Technology Personalization through Event Correlation,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",VLDB,2000,"('title', 'venue', 'year')",1@375687
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,Global optimization of histograms,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,"('authors', 'venue', 'year')",1@375687
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",VLDB,2002,"('title', 'year')",0@conf/vldb/LubbersGJ03
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Alexander Hinneburg, Daniel A. Keim, Markus Wawryniuk",VLDB,2002,"('title', 'authors', 'year')",0@conf/vldb/LubbersGJ03
HD-Eye: visual clustering of high dimensional data,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",SIGMOD Conference,2002,HD-Eye: visual clustering of high dimensional data,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",International Conference on Management of Data,2002,"('title', 'venue', 'year')",0@conf/vldb/LubbersGJ03
