label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_restype,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_restype,rtable_class,id
1,boulevard,1 mission st.,san francisco,415/543-6084,american,96,boulevard,1 mission st.,san francisco,415-543-6084,american (new),96,630#315
0,smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,62,wollensky\s grill,205 e. 49th st.,new york city,212-753-0444,steakhouses,653,596#120
1,smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,62,smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses,62,596#281
0,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,emeril\s new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,659,602#126
0,mikado,3400 las vegas blvd. s,las vegas,702/791-7111,asian,446,emeril\s new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,659,980#126
0,bally\s big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets,424,emeril\s new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,659,958#126
0,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,602#286
0,mikado,3400 las vegas blvd. s,las vegas,702/791-7111,asian,446,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,980#286
0,steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,72,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,606#286
0,empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian,438,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,972#286
0,ralph\s diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners,448,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,982#286
0,margarita\s mexican cantina,3120 las vegas blvd. s,las vegas,702/794-8200,mexican,444,chin\s,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,978#286
0,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental,657,602#124
0,bertolini\s,3570 las vegas blvd. s,las vegas,702/735-4663,italian,427,buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental,657,961#124
0,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,602#141
0,bertolini\s,3570 las vegas blvd. s,las vegas,702/735-4663,italian,427,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,961#141
0,bugsy\s diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners,431,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,965#141
0,bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental,429,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,963#141
0,cafe roma,3570 las vegas blvd. s,las vegas,702/731-7547,coffee shops/diners,433,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,967#141
0,cafe roma,3570 las vegas blvd. s,las vegas,702/731-7547,coffee shops/diners,433,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,967#141
0,chin\s,3200 las vegas blvd. s,las vegas,702/733-8899,asian,67,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,601#141
0,palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,70,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,604#141
0,ralph\s diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners,448,tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,982#141
0,coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,madame ching\s,3300 las vegas blvd. s.,las vegas,702-894-7111,asian,662,602#129
0,chin\s,3200 las vegas blvd. s,las vegas,702/733-8899,asian,67,madame ching\s,3300 las vegas blvd. s.,las vegas,702-894-7111,asian,662,601#129
