label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
0,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,0
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,1
0,Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,2
0,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,3
0,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,4
0,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,5
0,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,6
0,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,7
0,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,8
0,Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,9
0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,10
0,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,11
0,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,12
0,Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,13
1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,14
0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale &#40; IPA &#41;,6.50 %,15
0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,16
0,Street Cred India Rye Red Ale,Roaring Fork Beer Company,American Amber / Red Ale,7.20 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,17
0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %,18
0,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %,19
0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 %,20
