ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,Leonid Libkin,SIGMOD Record,1999,"('title',)"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,"Eric Freeman, David Gelernter",SIGMOD Record,1999,"('title', 'authors')"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,Leonid Libkin,ACM SIGMOD Record ,1999,"('title', 'venue')"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,Leonid Libkin,SIGMOD Record,1996,"('title', 'year')"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,"Eric Freeman, David Gelernter",ACM SIGMOD Record ,1999,"('title', 'authors', 'venue')"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,"('title', 'authors', 'year')"
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Lifestreams: a storage model for personal data,Leonid Libkin,ACM SIGMOD Record ,1996,"('title', 'venue', 'year')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",VLDB,1999,"('title',)"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,1999,"('title', 'authors')"
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,Push Technology Personalization through Event Correlation,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",Very Large Data Bases,1999,"('title', 'venue')"
