ltable_brand,ltable_modelno,ltable_title,ltable_price,ltable_dimensions,ltable_imageurl,ltable_shipweight,rtable_brand,rtable_modelno,rtable_title,rtable_price,rtable_dimensions,rtable_imageurl,rtable_shipweight,alteredAttributes
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand',)"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,JSD-00007,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'modelno')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Microsoft LifeCam VX-800 Black,17.99,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'title')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,18.88,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'price')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,6.5 x 5.5 x 3.0 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'dimensions')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,5.4 x 5.4 x 1.9 inches,http://i.walmartimages.com/i/p/00/88/53/70/30/0088537030389_300X300.jpg,2 pounds,"('brand', 'imageurl')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,95155,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,1,"('brand', 'shipweight')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,JSD-00007,Microsoft LifeCam VX-800 Black,17.99,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'modelno', 'title')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,JSD-00007,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,18.88,5.4 x 5.4 x 1.9 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'modelno', 'price')"
Microsoft,JSD-00007,Microsoft LifeCam VX-800 - Black JSD-00007,14.21,,http://ecx.images-amazon.com/images/I/41Y0UuWm%2B9L._SL500_AA300_.jpg,1 pounds,Microsoft,JSD-00007,Verbatim 95155 700 MB 4x-12x 80 Minute Silver Rewritable Disc CD-RW 25 Disc Spindle,17.99,6.5 x 5.5 x 3.0 inches,http://ecx.images-amazon.com/images/I/41nerBBTEzL._AA300_.jpg,2 pounds,"('brand', 'modelno', 'dimensions')"
