ele,label,lat,lon,ontology,type,typeDetail,id
,Petra (Jordan),30.3167,35.4833,http://data.nytimes.com/,,,0
,Petra,,,http://dbpedia.org/,,,1
,"Cordoba, Spain",,,http://dbpedia.org/,,,5
,Prague (Czech Republic),50.0878,14.4241,http://data.nytimes.com/,,,6
,Girona (Spain),41.9831,2.82493,http://data.nytimes.com/,,,12
,Split,43.5089,16.4392,http://sws.geonames.org/,"city, village,...",,15
,San Jose (Calif),37.3394,-121.895,http://data.nytimes.com/,,,24
,"San Jose, California",,,http://dbpedia.org/,"['http://umbel.org/umbel/rc/City', 'http://schema.org/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,25
,Moscow (Russia),55.7522,37.6156,http://data.nytimes.com/,,,30
,Zermatt (Switzerland),46.0167,7.75,http://data.nytimes.com/,,,32
,Wengen (Switzerland),46.6,7.91667,http://data.nytimes.com/,,,52
,Savannah (Ga),32.0835,-81.0998,http://data.nytimes.com/,,,56
15.0,savannah,32.0507,-81.1038,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.capital_of_administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/education.field_of_study', 'http://rdf.freebase.com/ns/location.statistical_region']",,57
,norwalk,41.1175,-73.4083,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.hud_county_place', 'http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.hud_foreclosure_area', 'http://rdf.freebase.com/ns/location.place_with_neighborhoods', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,59
,dublin,53.3428,-6.2661,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.administrative_division', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,63
,Hollywood (Calif),34.0983,-118.327,http://data.nytimes.com/,,,70
,Guilin (China),25.2819,110.286,http://data.nytimes.com/,,,78
,"Killington, Vermont",,,http://dbpedia.org/,"['http://umbel.org/umbel/rc/Town', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,83
,Zihuatanejo (Mexico),17.6333,-101.55,http://data.nytimes.com/,,,84
,Zihuatanejo,17.6367,-101.551,http://dbpedia.org/,"['http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://schema.org/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,85
,Ouro Preto (Brazil),-20.2875,-43.5081,http://data.nytimes.com/,,,86
,Ouro Preto,-20.3948,-43.5052,http://sws.geonames.org/,"city, village,...",populated place,87
,Hiroshima,34.3981,132.476,http://dbpedia.org/,"['http://schema.org/City', 'http://umbel.org/umbel/rc/City', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Place', 'http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,89
,Mombasa (Kenya),-4.05,39.6667,http://data.nytimes.com/,,,100
,mombasa,-4.05,39.6667,http://rdf.freebase.com/,"['http://rdf.freebase.com/ns/location.dated_location', 'http://rdf.freebase.com/ns/location.location', 'http://rdf.freebase.com/ns/location.place_with_neighborhoods', 'http://rdf.freebase.com/ns/location.citytown', 'http://rdf.freebase.com/ns/location.statistical_region']",,101
,Kathmandu,27.7,85.3333,http://dbpedia.org/,"['http://umbel.org/umbel/rc/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://umbel.org/umbel/rc/Location_Underspecified', 'http://schema.org/Place', 'http://umbel.org/umbel/rc/Village', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace']",,109
,Vienna (Austria),48.2085,16.3721,http://data.nytimes.com/,,,110
