id1,id2,label
3691,5177,0
7449,1430,0
5805,2080,0
1037,896,0
6938,5325,0
5165,5821,0
3878,3880,0
3868,6167,0
6869,4764,0
63,1873,0
1275,43,0
3103,2598,0
619,6354,0
1300,7517,0
4124,6775,0
5668,4128,0
1632,3044,0
3206,5083,0
994,3979,0
5149,3748,0
170,2322,0
1509,2618,0
1680,4753,0
5003,3309,0
1520,203,0
7148,1475,0
2307,7206,0
6,6270,0
5798,4861,0
4953,1322,0
1032,6624,0
3724,6833,0
960,3421,0
4216,4487,0
7206,3045,0
5762,7472,0
4011,4972,0
729,4128,0
5031,4167,0
1921,2592,0
2148,3739,0
86,4963,0
4368,2905,0
5506,7212,0
253,2072,0
676,2669,0
4141,2390,0
6551,1762,0
5080,1749,0
5745,504,0
2085,1611,0
826,637,0
3978,2774,0
4585,6132,0
6280,5212,0
4768,7097,0
2234,5386,0
3401,4707,0
2933,4609,0
579,289,0
5889,2128,0
2424,7057,0
2702,2066,0
5808,6498,0
5937,2906,0
5272,3917,0
1343,2173,0
5270,5200,0
2811,221,0
4885,5760,0
5200,5645,0
1436,3643,0
3843,4111,0
7102,1465,0
6219,5547,0
5416,571,0
5836,4119,0
6749,4190,0
5686,43,0
1342,2436,0
2967,83,0
1630,3561,0
5636,6354,0
2270,5055,0
6046,1922,0
3769,5998,0
2141,2136,0
1374,1725,0
2409,1856,0
5019,534,0
3476,3744,0
5883,840,0
2423,6515,0
1900,6929,0
4868,4600,0
392,4253,0
2063,3959,0
3671,4570,0
537,5611,0
2641,1365,0
7270,4099,0
4919,1691,0
5603,4691,0
3449,1858,0
156,1318,0
5854,6063,0
1374,2869,0
7002,1442,0
3572,3720,0
1727,7330,0
6835,5501,0
6746,1992,0
1750,6220,0
3736,3000,0
7176,4042,0
454,901,0
1243,6479,0
4750,1229,0
5219,5646,0
5402,6622,0
6677,2424,0
6193,5686,0
6539,3752,0
1053,4804,0
1190,5882,0
5579,2675,0
3881,5198,0
5324,2636,0
2063,4637,0
5501,7392,0
2475,4374,0
4471,6521,0
345,689,0
3556,4058,0
1187,5857,0
2710,5012,0
4632,4100,0
